messageId, messageContent, messageCreationDate, originalPostId, originalPostAuthorId, originalPostAuthorFirstName, originalPostAuthorLastName
2199027727462, "good", 20120909020743979, 2061588773973, 32985348833579, "Otto", "Becker"
2199023255745, "photo2199023255745.jpg", 20120908162059879, 2199023255745, 933, "Mahinda", "Perera"
2199023255744, "photo2199023255744.jpg", 20120908162058879, 2199023255744, 933, "Mahinda", "Perera"
2199023255743, "photo2199023255743.jpg", 20120908162057879, 2199023255743, 933, "Mahinda", "Perera"
2199023255742, "photo2199023255742.jpg", 20120908162056879, 2199023255742, 933, "Mahinda", "Perera"
2199023255741, "photo2199023255741.jpg", 20120908162055879, 2199023255741, 933, "Mahinda", "Perera"
2199023255740, "photo2199023255740.jpg", 20120908162054879, 2199023255740, 933, "Mahinda", "Perera"
2199023255739, "photo2199023255739.jpg", 20120908162053879, 2199023255739, 933, "Mahinda", "Perera"
2199023255738, "photo2199023255738.jpg", 20120908162052879, 2199023255738, 933, "Mahinda", "Perera"
2199023255737, "photo2199023255737.jpg", 20120908162051879, 2199023255737, 933, "Mahinda", "Perera"
